
Upper bound 926 after 1 search tree nodes
MaschineNo   4 :   41  11  62  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  17  68  47  80 
MaschineNo   6 :   71  14  27  86  48   8  99  59  70  40 
MaschineNo   7 :    1  13  43  73  26  96  56  37  69  89 
MaschineNo   8 :   83  25  45  66   5  97  76  57  39  19 
MaschineNo   9 :   92  23  16  67   6  35  88  77  58  50 
MaschineNo  10 :   31  12  44  65  55  87  29  98  78  10 

Upper bound 855 after 120 search tree nodes
MaschineNo   1 :   82   2  63  24  15  53  46  75  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   42  93  64  54  18  36  30  79   9  90 
MaschineNo   4 :   41  11  62  72  94  85   4  34  28  60 
MaschineNo   5 :   91  21  84  52   3  33  17  47  68  80 
MaschineNo   6 :   71  14  86  27  48   8  99  59  70  40 
MaschineNo   7 :    1  43  13  73  26  96  56  37  69  89 
MaschineNo   8 :   83  45  25  66   5  97  76  57  39  19 
MaschineNo   9 :   92  23  16  67   6  35  88  77  58  50 
MaschineNo  10 :   31  12  44  65  87  55  29  98  78  10 

Upper bound 854 after 160 search tree nodes
MaschineNo   1 :   82   2  24  63  53  15  46  75  38 100 
MaschineNo   2 :   81  61  22  51  32  74  95   7  49  20 
MaschineNo   3 :   42  93  64  54  36  18  30  79   9  90 
MaschineNo   4 :   11  41  62  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  47  68  17  80 
MaschineNo   6 :   71  14  27  86  48  59   8  99  70  40 
MaschineNo   7 :    1  13  43  73  26  56  96  69  37  89 
MaschineNo   8 :   83  25  45  66   5  57  97  76  19  39 
MaschineNo   9 :   92  23  16  67   6  58  35  77  88  50 
MaschineNo  10 :   31  12  44  65  55  87  29  98  78  10 

Upper bound 852 after 213 search tree nodes
MaschineNo   1 :   82   2  24  63  53  46  75  15  38 100 
MaschineNo   2 :   81  61  22  51  32  74  95   7  49  20 
MaschineNo   3 :   42  93  64  54  36  30  79  18   9  90 
MaschineNo   4 :   41  11  62  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  47  68  17  80 
